pumpModel,pumpWeight,pumpLength_mm
ЭЦН5А-200-2300,447,10760
ЭЦН5А-200-2450,504,12125
ЭЦН5А-200-2700,546,13125
ЭЦН5А-200-2950,586,14125
ЭЦН5А-200-3150,628,15125
ЭЦН5А-200-3400,669,16125
ЭЦН5А-200-1350,281,6734
ЭЦН5А-200-1600,323,7434
ЭЦН5А-200-2500,504,11640
ЭЦН5А-200-2750,546,12640
ЭЦН5А-200-3200,628,14640
ЭЦН5А-200-3450,669,15640
ЭЦН5А-250-950,407,9107
ЭЦН5А-250-1100,455,10107
ЭЦН5А-250-1200,500,11107
ЭЦН5А-250-1300,560,12472
ЭЦН5А-250-1450,605,13472
ЭЦН5А-250-1550,655,14472
ЭЦН5А-250-1700,700,15472
ЭЦН5А-250-1800,745,16472
ЭЦН5А-250-1900,807,17837
ЭЦН5А-250-2050,860,18837
ЭЦН5А-250-2150,900,19837
ЭЦН5А-250-2350,950,20837
ЭЦН5А-250-2450,995,21837
ЭЦН5А-250-800,366,8107
ЭЦН5А-250-1050,468,10107
ЭЦН5А-250-1150,512,11107
ЭЦН5А-250-1250,569,12472
ЭЦН5А-250-1400,617,13472
ЭЦН5А-250-1500,664,14472
ЭЦН5А-250-1650,712,15472
ЭЦН5А-250-1750,758,16472
ЭЦН5А-250-1850,815,17837
ЭЦН5А-250-2000,862,18837
ЭЦН5А-250-2100,910,19837
ЭЦН5А-250-2250,958,20837
ЭЦН5А-250-850,283,7436
ЭЦН5А-250-1350,443,11644
ЭЦН5А-250-1600,513,13644
ЭЦН5А-250-1950,638,16852
ЭЦН5А-250-2200,710,18852
ЭЦН5А-250-2300,745,19852
ЭЦН5А-320-750,324,9107
ЭЦН5А-320-850,383,10107
ЭЦН5А-320-950,422,11107
ЭЦН5А-320-1050,473,12472
ЭЦН5А-320-1150,516,13472
ЭЦН5А-320-1250,555,14472
ЭЦН5А-320-1350,594,15472
ЭЦН5А-320-1450,633,16472
ЭЦН5А-320-1500,688,17472
ЭЦН5А-320-1600,727,18837
ЭЦН5А-320-1700,766,19837
ЭЦН5А-320-1800,805,20837
ЭЦН5А-320-1900,844,21837
ЭЦН5А-320-2000,899,23202
ЭЦН5А-320-2100,938,24202
ЭЦН5А-320-2200,977,25202
ЭЦН5А-320-2300,1016,26202
ЭЦН5А-320-2400,1055,27202
ЭЦН5А-320-2450,1110,28567
ЭЦН5А-320-2550,1149,29567
ЭЦН5А-320-2650,1188,30567
ЭЦН5А-320-2750,1227,31567
ЭЦН5А-320-2850,1266,32567
ЭЦН5А-400-900,570,12631
ЭЦН5А-400-1000,613,13631
ЭЦН5А-400-1100,661,14631
ЭЦН5А-400-1200,709,15631
ЭЦН5А-400-1250,757,16631
ЭЦН5А-400-1300,813,17996
ЭЦН5А-400-1400,863,18996
ЭЦН5А-400-1500,909,19996
ЭЦН5А-400-1600,957,20996
ЭЦН5А-400-1700,1005,21996
ЭЦН5А-400-1750,1066,23361
ЭЦН5А-400-1850,1112,24361
ЭЦН5А-400-1950,1160,25361
ЭЦН5А-400-2000,1206,26361
ЭЦН5А-400-1350,668,17550
ЭЦН5А-400-1450,708,18550
ЭЦН5А-400-1800,877,22915
ЭЦН5А-400-2050,987,25915
ЭЦН5А-400-1150,592,15472
ЭЦН5А-400-2100,1042,27202
ЭЦН5А-400-2250,1136,29567
ЭЦН5А-400-2350,1174,30567
ЭЦН5А-400-2400,1210,31567
ЭЦН5А-400-2500,1248,32567
ЭЦН5А-400-2450,1178,30555
ЭЦН5А-400-2550,1206,31555
ЭЦН5А-500-500,382,9107
ЭЦН5А-500-550,425,10107
ЭЦН5А-500-650,468,11107
ЭЦН5А-500-700,525,12472
ЭЦН5А-500-750,567,13472
ЭЦН5А-500-800,610,14472
ЭЦН5А-500-900,654,15472
ЭЦН5А-500-950,697,16472
ЭЦН5А-500-1000,753,17472
ЭЦН5А-500-1050,796,18837
ЭЦН5А-500-1100,839,19837
ЭЦН5А-500-1200,882,20837
ЭЦН5А-500-1250,925,21837
ЭЦН5А-500-1350,982,23202
ЭЦН5А-500-1400,1025,24202
ЭЦН5А-500-1450,1068,25202
ЭЦН5А-500-1500,1111,26202
ЭЦН5А-500-1600,1154,27202
